"Show_Name","English","Type","Episodes","Rank","Score","Users","Popularity","Members","Favorites","Genre","Source","Licensors","Studios","Producers","Premiered"
"K-On!!: Ura-On!!","K-ON!!: Ura-On!!","Special","9","5287","6.58","12591","2236","27412","54","Comedy","Original","None found, add some","Kyoto Animation","None found, add some",""
"Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko","","OVA","1","5288","6.58","976","6431","2464","1","Action, Adventure, Comedy, Ecchi, Kids, Magic, Romance, Super Power, Supernatural","Unknown","None found, add some","Toei Animation","None found, add some",""
"Kujiratori","The Whale Hunt","Movie","1","5289","6.58","224","6790","2069","1","Adventure","Picture book","None found, add some","Studio Ghibli","None found, add some",""
"Kuusen Madoushi Kouhosei no Kyoukan","Sky Wizards Academy","TV","12","5290","6.58","61626","662","126763","254","Action, Drama, Fantasy, Magic, School","Light novel","Funimation","Diomedea","flying DOG","Summer 2015"
"Kyuukyoku Choujin R","Kyukyoku Chojin R","OVA","1","5291","6.58","173","8858","732","1","Comedy, Sci-Fi","Unknown","None found, add some","None found, add some","Shogakukan Productions, Bandai",""
"Miami Guns","","TV","13","5292","6.58","1165","5607","3531","5","Comedy, Ecchi, Police, Shounen","Manga","None found, add some","Group TAC","Kodansha, Animaruya","Winter 2000"
"MiniPato","Mobile Police Patlabor Minimum","Movie","3","5293","6.58","768","6706","2153","4","Parody","Original","Maiden Japan, Geneon Entertainment USA","Production I.G","Bandai Visual, Tohokushinsha Film Corporation",""
"Miss Monochrome: The Animation 2","","TV","13","5294","6.58","6779","3121","14600","9","Comedy, Music, Slice of Life","Original","None found, add some","SANZIGEN, LIDENFILMS","Starchild Records, Magic Capsule","Summer 2015"
"Nozo x Kimi","","OVA","3","5295","6.58","8703","2761","18624","23","Comedy, Ecchi, Romance, School, Shounen","Manga","None found, add some","Zexcs","None found, add some",""
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets<U+2665>Sareta Ken Specials","","","","5296","","","","","","","","","","",""
